establishment_id,establishment_type,inspection_frequency,severity
ID_141,Food Take Out,2,M - Minor
ID_141,Restaurant,1,M - Minor
ID_142,Restaurant,5,M - Minor
ID_142,Food Take Out,4,S - Significant
ID_142,Food Take Out,4,C - Crucial
ID_142,Food Take Out,3,S - Significant
ID_142,Restaurant,3,C - Crucial
ID_143,Restaurant,4,C - Crucial
ID_143,Food Take Out,3,S - Significant
ID_143,Food Take Out,3,C - Crucial
ID_143,Food Take Out,4,M - Minor
ID_143,Restaurant,5,S - Significant
ID_144,Food Take Out,1,M - Minor
ID_144,Food Take Out,3,C - Crucial
ID_144,Restaurant,5,M - Minor
ID_144,Food Take Out,5,S - Significant
ID_144,Food Take Out,3,C - Crucial
ID_145,Food Take Out,2,M - Minor
ID_145,Restaurant,4,S - Significant
ID_145,Food Take Out,3,C - Crucial
ID_145,Restaurant,5,S - Significant
ID_145,Restaurant,1,S - Significant
ID_146,Food Take Out,4,M - Minor
ID_146,Food Take Out,1,S - Significant
ID_146,Restaurant,4,C - Crucial
ID_146,Restaurant,1,C - Crucial
ID_146,Restaurant,3,M - Minor
ID_147,Restaurant,1,S - Significant
ID_147,Restaurant,2,M - Minor
ID_147,Restaurant,3,M - Minor
ID_147,Restaurant,3,M - Minor
ID_147,Food Take Out,2,M - Minor
ID_148,Restaurant,2,M - Minor
ID_148,Restaurant,2,M - Minor
ID_148,Restaurant,1,M - Minor
ID_148,Food Take Out,3,S - Significant
ID_148,Restaurant,2,S - Significant
ID_149,Restaurant,2,C - Crucial
ID_149,Restaurant,3,S - Significant
ID_149,Restaurant,1,S - Significant
ID_149,Food Take Out,5,C - Crucial
ID_149,Restaurant,2,M - Minor
ID_150,Food Take Out,3,S - Significant
ID_150,Restaurant,4,M - Minor
ID_150,Food Take Out,2,M - Minor
ID_150,Restaurant,2,S - Significant
ID_150,Restaurant,1,M - Minor
ID_151,Food Take Out,5,S - Significant
ID_151,Food Take Out,5,M - Minor
ID_151,Restaurant,3,M - Minor
ID_151,Restaurant,3,C - Crucial
ID_151,Food Take Out,1,S - Significant
ID_152,Food Take Out,2,C - Crucial
ID_152,Food Take Out,2,M - Minor
ID_152,Food Take Out,4,S - Significant
ID_152,Restaurant,5,M - Minor
ID_152,Food Take Out,5,S - Significant
ID_153,Food Take Out,5,S - Significant
ID_153,Food Take Out,2,M - Minor
ID_153,Food Take Out,2,M - Minor
ID_153,Restaurant,2,S - Significant
ID_153,Restaurant,3,M - Minor
ID_154,Restaurant,3,M - Minor
ID_154,Restaurant,1,S - Significant
ID_154,Food Take Out,3,M - Minor
ID_154,Restaurant,1,S - Significant
ID_154,Restaurant,5,S - Significant
ID_155,Restaurant,5,C - Crucial
ID_155,Food Take Out,3,C - Crucial
ID_155,Restaurant,5,M - Minor
ID_155,Food Take Out,1,S - Significant
ID_155,Food Take Out,3,S - Significant
ID_156,Restaurant,3,C - Crucial
ID_156,Food Take Out,3,C - Crucial
ID_156,Restaurant,3,M - Minor
ID_156,Restaurant,5,C - Crucial
ID_156,Restaurant,1,C - Crucial
ID_157,Restaurant,4,M - Minor
ID_157,Food Take Out,1,C - Crucial
ID_157,Food Take Out,5,M - Minor
ID_157,Restaurant,4,S - Significant
ID_157,Food Take Out,4,S - Significant
ID_158,Restaurant,1,S - Significant
ID_158,Food Take Out,3,M - Minor
ID_158,Food Take Out,4,S - Significant
ID_158,Food Take Out,3,C - Crucial
ID_158,Restaurant,1,C - Crucial
ID_159,Food Take Out,4,C - Crucial
ID_159,Restaurant,1,M - Minor
ID_159,Food Take Out,4,C - Crucial
ID_159,Restaurant,1,C - Crucial
ID_159,Restaurant,1,S - Significant
ID_160,Food Take Out,2,M - Minor
ID_160,Restaurant,5,C - Crucial
ID_160,Food Take Out,2,M - Minor
ID_160,Restaurant,3,S - Significant
ID_160,Restaurant,4,M - Minor
ID_161,Food Take Out,5,C - Crucial
ID_161,Food Take Out,4,S - Significant
ID_161,Restaurant,4,M - Minor
ID_161,Food Take Out,3,M - Minor
ID_161,Restaurant,1,C - Crucial
ID_162,Restaurant,3,S - Significant
ID_162,Restaurant,2,C - Crucial
ID_162,Food Take Out,4,C - Crucial
ID_162,Food Take Out,5,M - Minor
ID_162,Restaurant,5,S - Significant
ID_163,Restaurant,5,S - Significant
ID_163,Food Take Out,3,M - Minor
ID_163,Food Take Out,3,S - Significant
ID_163,Restaurant,4,C - Crucial
ID_163,Food Take Out,2,C - Crucial
ID_164,Restaurant,2,M - Minor
ID_164,Restaurant,2,M - Minor
ID_164,Food Take Out,2,C - Crucial
ID_164,Restaurant,2,C - Crucial
ID_164,Restaurant,4,M - Minor
ID_165,Food Take Out,2,S - Significant
ID_165,Food Take Out,1,S - Significant
ID_165,Food Take Out,4,C - Crucial
ID_165,Restaurant,4,C - Crucial
ID_165,Food Take Out,3,S - Significant
ID_166,Food Take Out,4,M - Minor
ID_166,Food Take Out,2,S - Significant
ID_166,Food Take Out,4,S - Significant
ID_166,Food Take Out,1,M - Minor
ID_166,Food Take Out,3,M - Minor
ID_167,Food Take Out,5,C - Crucial
ID_167,Food Take Out,1,S - Significant
ID_167,Restaurant,4,S - Significant
ID_167,Food Take Out,4,S - Significant
ID_167,Restaurant,2,C - Crucial
ID_168,Food Take Out,1,M - Minor
ID_168,Restaurant,3,C - Crucial
ID_168,Food Take Out,1,M - Minor
ID_168,Food Take Out,2,C - Crucial
ID_168,Restaurant,2,M - Minor
ID_169,Food Take Out,4,M - Minor
ID_169,Food Take Out,2,C - Crucial
ID_169,Restaurant,3,M - Minor
ID_169,Restaurant,2,M - Minor
ID_169,Food Take Out,3,M - Minor
ID_170,Restaurant,3,S - Significant
ID_170,Food Take Out,3,C - Crucial
ID_170,Food Take Out,5,M - Minor
ID_170,Food Take Out,5,C - Crucial
ID_170,Restaurant,5,C - Crucial
ID_171,Restaurant,5,C - Crucial
ID_171,Restaurant,4,M - Minor
ID_171,Restaurant,5,S - Significant
ID_171,Food Take Out,4,C - Crucial
ID_171,Food Take Out,4,S - Significant
ID_172,Food Take Out,1,C - Crucial
ID_172,Food Take Out,3,C - Crucial
ID_172,Food Take Out,4,C - Crucial
ID_172,Food Take Out,1,M - Minor
ID_172,Food Take Out,2,M - Minor
ID_173,Food Take Out,1,C - Crucial
ID_173,Food Take Out,3,C - Crucial
ID_173,Food Take Out,2,S - Significant
ID_173,Restaurant,2,S - Significant
ID_173,Restaurant,2,C - Crucial
ID_174,Food Take Out,5,S - Significant
ID_174,Restaurant,3,S - Significant
ID_174,Food Take Out,1,S - Significant
ID_174,Restaurant,4,S - Significant
ID_174,Food Take Out,4,M - Minor
ID_175,Restaurant,1,S - Significant
ID_175,Food Take Out,3,C - Crucial
ID_175,Food Take Out,3,M - Minor
ID_175,Restaurant,4,M - Minor
ID_175,Food Take Out,5,S - Significant
ID_176,Restaurant,2,S - Significant
ID_176,Food Take Out,3,M - Minor
ID_176,Food Take Out,2,M - Minor
ID_176,Food Take Out,2,M - Minor
ID_176,Food Take Out,2,M - Minor
ID_177,Restaurant,3,M - Minor
ID_177,Restaurant,3,M - Minor
ID_177,Food Take Out,3,M - Minor
ID_177,Restaurant,3,M - Minor
ID_177,Food Take Out,5,S - Significant
ID_178,Food Take Out,5,M - Minor
ID_178,Restaurant,3,C - Crucial
ID_178,Restaurant,2,M - Minor
ID_178,Food Take Out,2,C - Crucial
ID_178,Restaurant,1,S - Significant
ID_179,Food Take Out,4,S - Significant
ID_179,Restaurant,4,M - Minor
ID_179,Food Take Out,3,M - Minor
ID_179,Restaurant,1,S - Significant
ID_179,Food Take Out,3,M - Minor
ID_180,Restaurant,5,S - Significant
ID_180,Food Take Out,3,C - Crucial
ID_180,Restaurant,5,M - Minor
ID_180,Food Take Out,3,C - Crucial
ID_180,Restaurant,3,M - Minor
ID_181,Restaurant,3,S - Significant
ID_181,Restaurant,5,S - Significant
ID_181,Restaurant,4,M - Minor
ID_181,Restaurant,5,S - Significant
ID_181,Food Take Out,2,M - Minor
ID_182,Restaurant,3,S - Significant
ID_182,Restaurant,2,M - Minor
ID_182,Restaurant,2,S - Significant
ID_182,Food Take Out,1,M - Minor
ID_182,Food Take Out,5,C - Crucial
ID_183,Food Take Out,4,M - Minor
ID_183,Restaurant,3,C - Crucial
ID_183,Food Take Out,4,M - Minor
ID_183,Restaurant,1,C - Crucial
ID_183,Food Take Out,4,M - Minor
ID_184,Restaurant,3,M - Minor
ID_184,Food Take Out,4,S - Significant
ID_184,Restaurant,2,S - Significant
ID_184,Food Take Out,3,S - Significant
ID_184,Restaurant,3,C - Crucial
ID_185,Restaurant,1,M - Minor
ID_185,Restaurant,1,C - Crucial
ID_185,Restaurant,2,M - Minor
ID_185,Food Take Out,2,S - Significant
ID_185,Restaurant,4,C - Crucial
ID_186,Food Take Out,1,S - Significant
ID_186,Food Take Out,2,S - Significant
ID_186,Restaurant,4,C - Crucial
ID_186,Food Take Out,4,C - Crucial
ID_186,Food Take Out,2,C - Crucial
ID_187,Restaurant,2,S - Significant
ID_187,Food Take Out,2,M - Minor
ID_187,Food Take Out,1,M - Minor
ID_187,Food Take Out,1,C - Crucial
ID_187,Restaurant,3,S - Significant
ID_188,Food Take Out,1,S - Significant
ID_188,Food Take Out,1,M - Minor
ID_188,Restaurant,3,S - Significant
ID_188,Restaurant,2,C - Crucial
ID_188,Restaurant,1,C - Crucial
ID_189,Restaurant,4,S - Significant
ID_189,Food Take Out,3,S - Significant
ID_189,Food Take Out,4,M - Minor
ID_189,Food Take Out,5,C - Crucial
ID_189,Restaurant,3,S - Significant
ID_190,Restaurant,5,C - Crucial
ID_190,Food Take Out,1,M - Minor
ID_190,Food Take Out,1,C - Crucial
ID_190,Restaurant,3,S - Significant
ID_190,Restaurant,5,M - Minor
ID_191,Food Take Out,1,S - Significant
ID_191,Restaurant,5,S - Significant
ID_191,Restaurant,2,M - Minor
ID_191,Food Take Out,5,C - Crucial
ID_191,Food Take Out,5,M - Minor
ID_192,Food Take Out,2,M - Minor
ID_192,Restaurant,5,C - Crucial
ID_192,Restaurant,2,M - Minor
ID_192,Restaurant,3,C - Crucial
ID_192,Food Take Out,3,M - Minor
ID_193,Restaurant,4,S - Significant
ID_193,Restaurant,5,M - Minor
ID_193,Restaurant,3,M - Minor
ID_193,Food Take Out,1,S - Significant
ID_193,Food Take Out,2,S - Significant
ID_194,Restaurant,5,M - Minor
ID_194,Restaurant,2,C - Crucial
ID_194,Food Take Out,4,M - Minor
ID_194,Food Take Out,4,S - Significant
ID_194,Food Take Out,5,S - Significant
ID_195,Restaurant,1,C - Crucial
ID_195,Restaurant,4,S - Significant
ID_195,Food Take Out,1,M - Minor
ID_195,Food Take Out,1,S - Significant
ID_195,Food Take Out,4,M - Minor
ID_196,Restaurant,3,M - Minor
ID_196,Restaurant,2,C - Crucial
ID_196,Restaurant,5,M - Minor
ID_196,Food Take Out,4,M - Minor
ID_196,Restaurant,3,S - Significant
ID_197,Food Take Out,1,M - Minor
ID_197,Restaurant,5,S - Significant
ID_197,Food Take Out,3,M - Minor
ID_197,Food Take Out,3,C - Crucial
ID_197,Food Take Out,2,M - Minor
ID_198,Food Take Out,3,S - Significant
ID_198,Restaurant,4,S - Significant
ID_198,Restaurant,4,M - Minor
ID_198,Restaurant,2,M - Minor
ID_198,Restaurant,2,M - Minor
ID_199,Restaurant,2,C - Crucial
ID_199,Food Take Out,1,C - Crucial
ID_199,Restaurant,2,M - Minor
ID_199,Food Take Out,4,C - Crucial
ID_199,Food Take Out,4,C - Crucial
ID_200,Food Take Out,3,M - Minor
ID_200,Food Take Out,2,M - Minor
ID_200,Restaurant,3,C - Crucial
ID_200,Food Take Out,1,M - Minor
ID_200,Food Take Out,4,M - Minor
